Great Lakes - Lake Michigan|9087096|Port Inland, MI
Great Lakes - Lake Ontario|9052000|Cape Vincent, NY
Great Lakes - Lake Ontario|9052030|Oswego, NY
Great Lakes - Lake Ontario|9052058|Rochester, NY
Great Lakes - Lake Ontario|9052076|Olcott, NY
Great Lakes - Lake St. Clair|9034052|St Clair Shores, MI
Great Lakes - Lake Superior|9099004|Point Iroquois, MI
Great Lakes - Lake Superior|9099018|Marquette C.G., MI
Great Lakes - Lake Superior|9099044|Ontonagon, MI
Great Lakes - Lake Superior|9099064|Duluth, MN
Great Lakes - Lake Superior|9099090|Grand Marais, Lake Superior, MN
Great Lakes - Niagra River|9063007|Ashland Ave, NY
Great Lakes - Niagra River|9063009|American Falls, NY
Great Lakes - Niagra River|9063012|Niagara Intake, NY
Great Lakes - St. Clair River|9014070|Algonac, MI
Great Lakes - St. Clair River|9014080|St. Clair State Police, MI
Great Lakes - St. Clair River|9014087|Dry Dock, MI
Great Lakes - St. Clair River|9014090|Mouth of the Black River, MI
Great Lakes - St. Clair River|9014096|Dunn Paper, MI
Great Lakes - St. Clair River|9014098|Fort Gratiot, MI
Great Lakes - St. Lawrence River|8311030|Ogdensburg, NY
Great Lakes - St. Lawrence River|8311062|Alexandria Bay, NY
Great Lakes - St. Marys River|9076024|Rock Cut, MI
Great Lakes - St. Marys River|9076027|West Neebish Island, MI
Great Lakes - St. Marys River|9076033|Little Rapids, MI
Great Lakes - St. Marys River|9076060|U.S. Slip, MI
Great Lakes - St. Marys River|9076070|S.W. Pier, St. Marys River, MI
Hawaii|1611400|Nawiliwili, HI
Hawaii|1612340|Honolulu, HI
Hawaii|1612480|Mokuoloe, HI
Hawaii|1615680|Kahului, Kahului Harbor, HI
Hawaii|1617433|Kawaihae, HI
Hawaii|1617760|Hilo, Hilo Bay, Kuhio Bay, HI
Louisiana|8760721|Pilottown, LA
Louisiana|8760922|Pilots Station East, S.W. Pass, LA
Louisiana|8761305|Shell Beach, LA
Louisiana|8761724|Grand Isle, LA
Louisiana|8761927|New Canal Station, LA
Louisiana|8761955|Carrollton, LA
Louisiana|8762075|Port Fourchon, Belle Pass, LA
Louisiana|8762482|West Bank 1, Bayou Gauche, LA
Louisiana|8762483|I-10 Bonnet Carre Floodway,
Louisiana|8764044|Berwick, Atchafalaya River, LA
Louisiana|8764227|LAWMA, Amerada Pass, LA
Louisiana|8764314|Eugene Island, North of, Atchafalaya Bay,
Louisiana|8766072|Freshwater Canal Locks, LA
Louisiana|8767816|Lake Charles, LA
Louisiana|8767961|Bulk Terminal, LA
Louisiana|8768094|Calcasieu Pass, LA
Maine|8410140|Eastport, ME
Maine|8411060|Cutler Farris Wharf, ME
Maine|8413320|Bar Harbor, ME
Maine|8418150|Portland, ME
Maine|8419317|Wells, ME8419870 Seavey Island, ME
Maryland|8570283|Ocean City Inlet, MD
Maryland|8571421|Bishops Head, MD
Maryland|8571892|Cambridge, MD
Maryland|8573364|Tolchester Beach, MD
Maryland|8573927|Chesapeake City, MD
Maryland|8574680|Baltimore, Fort McHenry, Patapsco River, MD
Maryland|8575512|Annapolis, MD
Maryland|8577330|Solomons Island, MD
Massachusetts|8443970|Boston, MA
Massachusetts|8447386|Fall River, MA
Massachusetts|8447435|Chatham, Lydia Cove, MA
Massachusetts|8447930|Woods Hole, MA
Massachusetts|8449130|Nantucket Island, MA
Mississippi|8740166|Grand Bay NERR, Mississippi Sound, MS
Mississippi|8741533|Pascagoula NOAA Lab, MS
Mississippi|8747437|Bay Waveland Yacht Club, MS
New Jersey|8531680|Sandy Hook, NJ
New Jersey|8534720|Atlantic City, NJ
New Jersey|8536110|Cape May, NJ
New Jersey|8537121|Ship John Shoal, NJ
New Jersey|8539094|Burlington, Delaware River, NJ
New York|8510560|Montauk, NY
New York|8516945|Kings Point, NY
New York|8518750|The Battery, NY
New York|8518962|Turkey Point Hudson River NERRS, NY
New York|8519483|Bergen Point West Reach, NY
North Carolina|8651370|Duck, NC
North Carolina|8652587|Oregon Inlet Marina, NC
North Carolina|8654467|USCG Station Hatteras, NC
North Carolina|8656483|Beaufort, Duke Marine Lab, NC
North Carolina|8658120|Wilmington, NC
North Carolina|8658163|Wrightsville Beach, NC
Oregon|9431647|Port Orford, OR
Oregon|9432780|Charleston, OR
Oregon|9435380|South Beach, OR
